Website Name,Website Popularity,Error,Number of Errors
adtargeting,4451498,Additional Elements 02,1
adtargeting,4451498,JavaScript 05,1
apilist,4521960,4.1.3 Status Messages,1
apilist,4521960,3.3.2 Labels or Instructions,1
apilist,4521960,3.3.3 Error Suggestion,1
apilist,4521960,Additional Elements 04,1
apilist,4521960,JavaScript 05,1
barclondon,4491348,2.1.1 Keyboard,1
barclondon,4491348,Input Fields 04,1
barclondon,4491348,JavaScript 05,1
barclondon,4491348,REG_NO_PROMPT,1
bardcoffee,4500433,Additional Elements 04,1
bardcoffee,4500433,JavaScript 05,1
bardcoffee,4500433,REG_NO_PROMPT,1
bardcoffee,4500433,1.3.3 Sensory Characteristics,1
bardcoffee,4500433,3.3.2 Labels or Instructions,1
burtsgh,4466086,4.1.2 Name,1
burtsgh,4466086,Additional Elements 03,1
burtsgh,4466086,Input Fields 04,1
burtsgh,4466086,REG_FILLED_WRONG_FIELD,1
celebrityauthentics,4525787,1.3.1 Info and Relationships,1
celebrityauthentics,4525787,2.1.1 Keyboard,1
celebrityauthentics,4525787,2.1.2 No Keyboard Trap,1
celebrityauthentics,4525787,3.2.2 On Input,1
celebrityauthentics,4525787,3.3.2 Labels or Instructions,1
celebrityauthentics,4525787,Additional Elements 01,1
celebrityauthentics,4525787,Additional Elements 04,1
celebrityauthentics,4525787,REG_NO_PROMPT,1
clockfacemodular,4458264,1.3.3 Sensory Characteristics,1
clockfacemodular,4458264,4.1.3 Status Messages,1
clockfacemodular,4458264,3.3.2 Labels or Instructions,1
clockfacemodular,4458264,Additional Elements 04,1
clockfacemodular,4458264,JavaScript 05,1
clockfacemodular,4458264,REG_NO_PROMPT,1
darksucks (foursevens),4499955,Additional Elements 03,1
darksucks (foursevens),4499955,Additional Elements 04,1
darksucks (foursevens),4499955,JavaScript 05,1
darksucks (foursevens),4499955,REG_NO_PROMPT,1
darksucks (foursevens),4499955,1.3.1 Info and Relationships,1
darksucks (foursevens),4499955,1.3.3 Sensory Characteristics,1
darksucks (foursevens),4499955,3.3.2 Labels or Instructions,1
darksucks (foursevens),4499955,4.1.3 Status Messages,1
experience.springpod,4524309,2.5.3 Label in Name,1
experience.springpod,4524309,4.1.2 Name,1
experience.springpod,4524309,Additional Elements 04,1
experience.springpod,4524309,Input Fields 05,1
experience.springpod,4524309,JavaScript 05,1
experience.springpod,4524309,REG_NO_PROMPT,1
filterforfridge,4450283,1.3.1 Info and Relationships,1
filterforfridge,4450283,1.3.3 Sensory Characteristics,1
filterforfridge,4450283,2.4.3 Focus Order,1
filterforfridge,4450283,3.3.1 Error Identification,1
filterforfridge,4450283,Additional Elements 03,1
filterforfridge,4450283,REG_FILLED_WRONG_FIELD,1
filterforfridge,4450283,Input Fields 04,1
foretstudio,4496680,2.1.1 Keyboard,1
foretstudio,4496680,Additional Elements 04,1
foretstudio,4496680,Input Fields 04,1
foretstudio,4496680,JavaScript 05,1
foretstudio,4496680,REG_NO_PROMPT,1
housespirits,4457039,2.1.1 Keyboard,1
housespirits,4457039,4.1.3 Status Messages,1
housespirits,4457039,Additional Elements 04,1
housespirits,4457039,Input Fields 04,1
housespirits,4457039,JavaScript 05,1
