Website,Number of Violations
017blog.com,0
100000jobs.ch,4
100hires.com,2
100thieves.com,9
10freelife.com,10
111skin.com,7
1126records.com,2
11bravos.com,6
123.is,6
123presets.store,5
123stitch.com,9
123teachme.com,6
127yardsale.com,7
1290sqm.com,5
12thtribe.com,7
12weekyear.com,5
1800wheelchair.com,8
1820bagco.com,5
1822denim.com,6
1928.com,4
1997appealclothing.com,5
1hairstop.in,4
1ml.com,8
1sale.com,11
1saleaday.com,11
1shortlink.com,5
1stphorm.com,4
1thrive.com,3
1upnutrition.com,10
20i.com,5
20x200.com,8
21-draw.com,5
211ct.org,4
21stmortgage.com,6
21yunbox.com,3
22daysnutrition.com,6
22vd.com,9
23snaps.com,5
24-7prayer.com,6
247blinds.co.uk,6
24hourwristbands.ca,3
27boutique.com,11
2bigfeet.com,7
2draw.net,6
2fast4buds.com,3
2hraquarist.com,9
2karandasha.ru,6
310nutrition.com,10
32spokes.com.au,6
343industries.org,4
360totalsecurity.com,6
365mashbir.co.il,6
3craftchicks.com,2
3d-drucker-community.de,3
3dkeebs.com,9
3dphotogifts.com,4
3eonline.com,6
3hentai.net,6
401games.ca,10
40billion.com,6
42.fr,4
420science.com,9
45books.com,4
47brand.com.au,5
4d.com,7
4knines.com,5
4mark.net,8
4purposeenergy.com,7
4tronix.co.uk,10
50-50.com.au,9
511ga.org,4
511la.org,4
511on.ca,4
51paper.net,7
54energy.com,4
54thrones.com,3
5tawzeef.com,5
60secondtraffic.com,6
64audio.com,3
6bittersweets.com,9
6i5.com,8
6ixice.com,9
6wind.com,9
75f.io,4
800ceoread.com,10
80stees.com,7
840designs.com,2
8ball.co.uk,4
8coin.my,8
8kcosplay.com,4
8teenboy.com,4
8thstreet.com,5
911healthshop.com,7
93brand.com,7
9689.jp,1
96dragonstudio.com,4
99perfume.com,4
99txs.com,7
9cloud.us,4
a-d-g.com.au,5
a069-access.nyc.gov,1
a1designerwear.com,6
a4c.com,2
aaa.biz,3
aaannunci.it,4
aaartsalliance.org,6
aag.org,2
aanswr.com,5
aao-usa.com,7
aappublications.org,10
aardvarkstraws.com,9
aaroncanter.com,6
aauni.edu,6
abaa.org,3
abaleadascores.es,7
abbonamenti.it,12
abbottlyon.com,11
abbysguide.com,6
abc.pl,6
abcunderwear.com,7
abide.co,3
abientot713.com,9
abilitymagazine.com,4
abilitysuperstore.com,6
abine.com,8
abitur-und-studium.de,13
abmtax.ca,6
abokifx.com,5
aboutvintage.com,6
abramsandchronicle.co.uk,10
absatzplus.at,6
absolutecollagen.com,4
absolutedigitizing.com,4
abundantearthfiber.com,7
acacia.co,2
acadle.com,8
acc.reg.eleyo.com,9
accentclothing.com,11
access.iu.edu,0
access.oup.com.json,3
access.swallowed.com.json,6
account.covermymeds.com,0
account.ifsoe.ru,9
account.municipalonlinepayments.com,0
accountablehq.com,3
accounts.crimsonjapan.co.jp.json,9
accounts.formaloo.net.json,2
accounts.seminolewildcard.com.json,7
accounts.spotify.com.json,3
accounts.ulatus.com.json,9
accsmarket.com,10
acmebranding.com,4
acousticdesignworks.com,3
acoustimac.com,8
acquirebase.com,5
acquiretm.com,1
act.eff.org,3
actionbound.com,9
activ5.com,7
activaboualaa.com,5
activbody.com,7
activeautowerke.com,4
activecarestore.co.uk,7
activepages.com.au,11
activitysport.com.ua,8
ada-compliance.com,6
adabible.org,7
adafruit.com,4
adanola.com,9
adanslibas.com,4
adcalm.com,8
adclicks.io,5
addressschool.com,7
adelaide.edu.au,4
adenmobile.com,9
adeptcosmetics.com,0
adhdmarriage.com,1
adirondackwinery.com,7
admantum.com,4
admin.hostpoint.ch,8
admin.sans.org,8
admiracz.com,6
admissions.pitt.edu,7
adoc.pub,7
adoncn.com,5
adoptahoneybee.com,5
adoption.com,5
adoptmetradingvalues.com,7
adornbysarahlewis.com,7
adornmonde.com,5
adprecise.com,7
ads.golem.de,7
ads.neptuneadspush.com,5
adslthailand.com,2
adtargeting.io,6
adtrue.com,3
adultlook.com,8
adv-sound.com,7
advancedrenamer.com,4
advancedtrichology.com,8
adventure16.com,0
adventuresincre.com,6
advfn.com,8
advizr.com,6
adztec.com,6
aedes.com,3
aeraforhome.com,11
aeropress.com,3
aerztezeitung.de,3
aeyde.com,12
afacerist.ro,7
affcoups.com,5
affiliate.ionos.com,7
affiliates.med.cash.json,9
affiliates2.kavehome.com,8
afloral.com,2
afribary.com,6
africa-business.com,12
africanexecutive.com,5
afrobrutality.com,8
afrocenchix.com,3
afsa.gov.au,5
afternoontea.co.uk,9
aftonshows.com,5
aftontickets.com,6
afw.com,2
ag.ch,5
agcequipment.com.au,1
agenceecofin.com,4
agendaai.com.br,7
aggv.ca,1
aghanoorofficial.com,11
agilestationery.co.uk,6
agirlforalltime.com,13
agmmobile.com,2
agogie.com,3
agolde.com,4
agrole.com,9
agroserver.ru,7
agrositio.com.ar,12
agsmarkets.com,8
aguriworld.co.uk,5
ahavaus.com,8
ahealthyphilosophy.com,5
ahlvar.com,11
aiandus.ee,8
aidashoreditch.co.uk,9
ailijewelry.com,7
ainterol.eu,3
airdata.com,7
airestech.com,4
airinum.com,7
airkitchen.me,6
airportag.com,3
airsoftatlanta.com,5
airsoftextreme.com,9
aitoc.com,7
ajtmh.org,4
akibaunyu.com,7
akidsbookabout.com,5
akidsco.com,5
akilischool.com,7
akjournals.com,7
aknw.de,2
akpool.de,1
akpress.org,7
al-rizq.com,5
alam.mx,7
alamodelabel.in,9
alamodeonline.com,1
alaninu.com,5
alarmgrid.com,6
alcafashion.nl,5
alcenero.com,3
alchemygoods.com,6
aldeababy.com,8
alectrofag.co.uk,7
alessi.com,7
aletteblanc.jp,2
alexiswalterart.com,5
alexperry.com.au,1
alexrossart.com,6
alfatah.com.pk,9
alfatyping.com,3
alfredsung.com,3
algcollective.com,5
algorand.org,5
aliandbird.com,2
aliceandames.com,4
alicelanehome.com,8
aliciasouza.com,6
alighieri.co.uk,8
aligracehair.com,5
aliita.jp,5
alilyshow.com,6
alimapure.com,6
alipid.com.au,5
alisonlou.com,4
alitius.imgbb.com,3
all3abb.com,10
alladvantage.com,0
allbambu.com,3
allblk.tv,7
aller-ease.com,7
alley-rae-apparel.myshopify.com,4
allgessentials.com,10
allhyipmonitors.com,6
alliancelarp.com,8
allinhawaii.com,5
allithypermarket.com.my,4
allparts.com,3
allstarbeauty.ca,2
allthatremainsonline.com,5
alltheanime.com,5
allthebestpetcare.com,9
allurepack.com,7
almagd.tv,1
almanacbeer.com,6
almastyshop.co.uk,4
almazclothing.com,10
almondine.co.uk,5
almondsurfboards.com,5
alogar.cl,0
aloha.com,7
alondra.es,9
aloquence-industry.com,6
alpacadirect.com,7
alpacainfo.com,6
alpacathreadz.com,2
alphadog.it,8
alphalete.uk,7
alphaleteathletics.ca,8
alphaleteathletics.com,7
alphaspel.se,8
alpino.store,9
alpynbeauty.com,3
alreadygear.myshopify.com,4
altacarebeautyspa.com,7
altenew.com,9
alterbridge.com,2
alternativeradio.org,6
altfragrances.com,2
altmeyers.org,5
altronix.com,7
alva-skates.com,5
alvjewels.com,4
alysmo.com,2
am-dessous.de,9
amadoki.com,7
amandassunglasses.com,7
amaproracing.com,4
amara.org.json,3
amaraorganicfoods.com,9
amarstock.com,7
amazingsmm.com,5
amazon.cn,6
ambassadorbridge.com,2
ambi.com,3
ambit.red,6
ambrizjewelry.com,5
ambrosiacollective.com,5
ambrosiamag.com,11
amclassic.com,3
amenagerieofstitches.com,9
amenitiz.io,6
americanfootballeurope.com,9
americanfreepress.net,5
americangrainsusa.com,4
americanindustrialmagazine.com,9
americanlegendrider.com,8
americanlifeguardusa.com,6
americanliterature.com,4
americanmade-site.us,6
americanmattress.com,10
americanpeonysociety.org,6
americantent.com,9
ameritron.com,9
amiibo.life,3
amilita.com,3
aminoco.com,9
amiri.com,3
ammonyc.com,4
amnautical.com,6
amnistia.org,9
amoils.com,9
amoryn.com,10
amoss-store.com,9
amromusic.com,5
amsale.com,8
amsterdamtulipmuseumonline.com,1
amydus.com,5
amyojewelry.com,10
amzseller.tools,6
an-hydra.com,1
an-life.jp,7
anabolikabestellen.com,2
anandaapothecary.com,9
and1.com,5
andco-andoko.com,2
andestea.cl,3
andreabeaman.com,1
andreaplanet.com,6
androidtablets.net,5
andshesdopetoo.com,8
andyfrisella.com,9
anecdote.com,3
anewall.com,8
anfora.com,6
angelawickstead.com,7
angelcompetitionbikinis.com,4
angelino.us,6
angelladycrystalsboutique.com,2
angelscup.com,7
angelusdirect.com,9
angeluspress.org,5
angry-cops.com,0
anhtop.com,3
anikstd.ru,7
animalhearted.com,3
animationlibrary.com,9
animember.net,5
aninebing.com,3
anirva.com,9
anitako.com,5
anjumodi.com,9
ankerjapan.com,7
ankerkraut.de,5
anki.com,5
anlp.org,5
anna-nina.nl,10
annabelle.ch,4
annasheffield.com,3
annebedrick.com,6
annhand.com,3
annieandoak.com,6
annke.com,10
annmsshop.com,1
anodynecoffee.com,0
anoli-joaillerie.com,5
anonimo.com,4
anoque.com.au,4
another.com.au,4
anove.com,6
answers.mx,8
answerthepublic.com,5
antarctic-press.com,5
anthc.org,7
anthidis.gr,7
anthosfoods.com,3
antiqueroseemporium.com,5
antiquespride.edu.ph,6
antler.co.uk,10
antlionaudio.com,11
antroadplanner.ru,5
anveya.com,4
anycash.com,6
anycastdns.cz,4
anycubic.com,5
anyilu.com,2
anymailfinder.com,6
anyvan.com,6
aomc.mx,6
aoyamabc.jp,10
ap-fashion-store.myshopify.com,7
