Violation ID,Count,Severity
aria-allowed-attr,910,critical
button-name,1942,critical
duplicate-id-aria,2614,critical
duplicate-id,5498,minor
link-name,7293,serious
frame-title,564,serious
html-has-lang,2896,serious
color-contrast,10390,serious
duplicate-id-active,1822,serious
aria-valid-attr,174,critical
nested-interactive,607,serious
aria-command-name,158,serious
image-alt,3613,critical
label,2344,critical
listitem,1241,serious
list,1006,serious
select-name,1168,critical
aria-input-field-name,208,serious
meta-refresh,287,critical
aria-roles,132,critical
svg-img-alt,464,serious
aria-hidden-focus,599,serious
aria-valid-attr-value,280,critical
aria-required-children,337,critical
document-title,662,serious
definition-list,30,serious
aria-required-parent,236,critical
scrollable-region-focusable,267,moderate
input-button-name,100,critical
aria-required-attr,87,critical
html-lang-valid,88,serious
marquee,28,serious
object-alt,22,serious
role-img-alt,49,serious
input-image-alt,49,critical
dlitem,11,serious
aria-tooltip-name,5,serious
aria-progressbar-name,55,serious
area-alt,6,critical
aria-roledescription,51,serious
aria-toggle-field-name,20,serious
valid-lang,3,serious
