#,Website,Number of Violations,tranco_rank
0,cloudflare.com,1,11
1,instagram.com,3,14
2,linkedin.com,1,20
3,live.com,3,22
4,amazon.com,13,25
5,github.com,0,36
6,wordpress.org,2,43
7,digicert.com,8,54
8,tiktok.com,8,79
9,nist.gov,3,126
10,flickr.com,4,127
11,dropbox.com,2,128
12,gravatar.com,3,130
13,gravatar.com,2,130
14,nytimes.com,4,151
15,archive.org,6,157
16,bbc.com,1,206
17,bbc.co.uk,1,208
18,creativecommons.org,9,212
19,sourceforge.net,5,218
20,imdb.com,5,229
21,wikimedia.org,5,274
22,etsy.com,4,342
23,surveymonkey.com,3,517
24,statcounter.com,6,981
25,python.org,9,1003
26,kakuyomu.jp,5,1604
27,screener.in,0,1621
28,eff.org,3,1813
29,yandex.by,4,1891
30,ringcentral.com,7,2014
31,mydramalist.com,8,2026
32,tawk.to,5,2060
33,usc.edu,3,2242
34,podbean.com,4,2566
35,heise.de,3,2746
36,mpg.de,7,2950
37,pypi.org,1,3249
38,teachable.com,1,3291
39,shodan.io,3,3550
40,snowflake.com,4,3554
41,prodigygame.com,5,4408
42,kxcdn.com,5,4607
43,uq.edu.au,3,4836
44,scholastic.com,8,4871
45,pbase.com,6,4874
46,gamebanana.com,6,5143
47,shop-pro.jp,4,5193
48,vidyard.com,3,5438
49,wolfram.com,6,5491
50,sync.com,8,5523
51,nic.cz,3,5562
52,laravel-news.com,5,5793
53,radiopotok.ru,2,5858
54,exoclick.com,10,6176
55,savvasrealize.com,10,6292
56,iloveimg.com,3,6379
57,unm.edu,5,6474
58,360totalsecurity.com,6,7029
59,themeansar.com,5,7053
60,elo7.com.br,5,7104
61,ua.edu,9,7192
62,3hentai.net,6,7456
63,myinstants.com,4,7602
64,la.gov,7,7740
65,privateinternetaccess.com,4,7779
66,vsco.co,9,7829
67,pdfcoffee.com,8,7900
68,coinspot.com.au,9,8258
69,cumlouder.com,6,8277
70,sports.kz,5,8495
71,biletinial.com,12,8631
72,nhentai.to,2,8669
73,transfermarkt.es,9,8849
74,macaro-ni.jp,9,9023
75,adafruit.com,4,9121
76,pusherapp.com,2,9179
77,adelaide.edu.au,4,9216
78,aappublications.org,10,9272
79,workupjob.com,1,9807
80,nv.gov,7,10188
81,amazon.cn,6,10652
82,gitea.com,3,10703
83,bablosoft.com,6,11254
84,vhx.tv,4,11337
85,net-empregos.com,6,11476
86,cococut.net,5,11784
87,courtlistener.com,3,12252
88,imgbb.com,3,12297
89,dergipark.org.tr,8,12324
90,popcash.net,7,12612
91,rp.pl,2,12737
92,sans.org,8,13191
93,wallpapercave.com,2,13387
94,iucnredlist.org,9,13648
95,aritzia.com,1,13944
96,louisiana.gov,4,14247
97,icy-veins.com,5,14364
98,snapwidget.com,5,14378
99,refiner.io,4,14396
100,healthsherpa.com,6,14481
101,anycastdns.cz,4,14706
102,deakin.edu.au,11,14754
103,ufrgs.br,8,14867
104,perfops.net,4,14927
105,uow.edu.au,4,14958
106,rev.com,4,14984
107,seetickets.com,4,15744
108,bscscan.com,1,15951
109,wgbh.org,3,16245
110,hostak.ru,8,16442
111,suny.edu,6,16498
112,recurly.com,4,16585
113,westfield.com,3,16797
114,vietjetair.com,3,16804
115,surfly.com,8,16852
116,pakwheels.com,7,17475
117,gimbal.com,6,17482
118,insurancejournal.com,8,17499
119,jamendo.com,5,17750
120,unil.ch,6,17891
121,crazyshit.com,4,18013
122,indiankanoon.org,7,18031
123,meater.com,6,18038
124,babepedia.com,3,18285
125,hypnotube.com,8,18353
126,lse.co.uk,1,18375
127,buzzsumo.com,8,18690
128,zmags.com,5,18799
129,buff.ly,3,19025
130,poppen.de,8,19040
131,hentaimama.io,5,19121
132,pampers.com,1,19235
133,scoresandodds.com,5,19516
134,answerthepublic.com,5,19568
135,flsenate.gov,10,19849
136,advfn.com,8,20476
137,inlinemanual.com,4,20897
138,typeset.io,3,20917
139,surveymonkey.co.uk,3,21073
140,lipscosme.com,6,21081
141,hubstaff.com,11,21098
142,campaignlive.co.uk,5,21195
143,koa.com,6,21229
144,moxiworks.com,1,21237
145,xdate.ch,7,21323
146,swiftype.com,6,22140
147,exoscale.com,8,22141
148,teleman.pl,3,22262
149,embedsocial.com,5,22602
150,cancer.ca,9,22723
151,reed.co.uk,1,23173
152,zf.ro,8,23194
153,nightcafe.studio,1,23259
154,minecraftcommand.science,5,23914
155,vevor.com,7,24015
156,consensys.net,2,24205
157,swgoh.gg,2,24672
158,vectorworks.net,3,25007
159,gifyu.com,5,25085
160,usinternet.com,4,25320
161,lockly.com,5,25362
162,polygonscan.com,1,25367
163,realpython.com,4,25500
164,doxo.com,7,25505
165,tebex.io,2,25579
166,redmine.org,3,25582
167,paperswithcode.com,6,25791
168,vesti.kz,7,25886
169,finanznachrichten.de,8,26339
170,cert.pl,5,26431
171,physorg.com,2,26594
172,iapp.org,7,27566
173,the-star.co.ke,6,27790
174,artmajeur.com,9,27889
175,evo.com,8,28103
176,playvids.com,6,28350
177,comicbookmovie.com,6,28430
178,talon.by,4,28770
179,jegs.com,15,29078
180,ijs.si,4,29342
181,locals.com,4,29406
182,ssc.nic.in,11,29542
183,gnb.ca,5,29733
184,versobooks.com,2,29772
185,loyaltylion.com,4,29983
186,holid.io,9,30028
187,criterion.com,2,30124
188,wellplated.com,3,30514
189,whimsical.com,5,30626
190,thefader.com,1,31036
191,dynv6.com,4,31104
192,healthstream.com,7,31263
193,nuvid.com,7,31398
194,ihs.gov,5,31554
195,healthit.gov,2,32056
196,dr.com.tr,7,32075
197,halloweencostumes.com,3,32198
198,buildabear.com,3,32336
199,gdeslon.ru,6,32340
200,planespotters.net,2,32581
201,resume.io,5,32641
202,bigscoots.com,9,32658
203,nubia.com,7,32927
204,wbshop.com,5,33381
205,mybib.com,5,33633
206,goip.de,6,34123
207,craftsy.com,10,34190
208,gethornet.com,3,34377
209,iili.io,6,34390
210,castos.com,1,34736
211,epilepsy.com,1,34791
212,whataburger.com,3,34956
213,pushover.net,5,35011
214,swimoutlet.com,4,35252
215,windsorstore.com,11,35356
216,likebtn.com,7,36690
217,state.mn.us,5,36883
218,erply.com,7,37314
219,stussy.com,2,37381
220,tchncs.de,1,37516
221,thestorygraph.com,6,37760
222,carnegiehall.org,2,37781
223,revy.io,4,37816
224,ilmanifesto.it,3,37909
225,netgalley.com,9,38463
226,yithemes.com,3,38699
227,noordhollandsdagblad.nl,4,38724
228,blue-tomato.com,7,38790
229,ysense.com,2,38925
230,physicsforums.com,4,38985
231,cmnd.io,9,38987
232,arhaus.com,12,39542
233,trovit.com,8,39746
234,xrite.com,4,39762
235,scstatehouse.gov,3,39774
236,goodlayers.com,7,39852
237,oneall.com,5,40244
238,xvix.eu,4,40402
239,yosmart.com,7,40496
240,geolocation-db.com,4,40914
241,rigzone.com,10,41190
242,surf-forecast.com,14,41687
243,amara.org,3,41949
244,grabagun.com,5,41953
245,jrank.org,5,41988
246,askmap.net,8,42237
247,ecodibergamo.it,6,42384
248,zouk.co.in,6,42476
249,readymag.com,6,42793
250,nzpost.co.nz,0,42831
251,quadlayers.com,3,43063
252,geox.com,11,43435
253,mcalistersdeli.com,4,43546
254,phplist.com,6,43687
255,houseofnames.com,5,44058
256,paste.ee,1,44135
257,fatquartershop.com,8,44427
258,ripoffreport.com,7,44436
259,mejuri.com,9,44560
260,cardkingdom.com,6,44961
261,trendyporn.com,10,44973
262,speedtest.pl,3,45499
263,footballkitarchive.com,3,46189
264,aerztezeitung.de,3,46699
265,yodlee.com,6,47428
266,getdbt.com,7,47459
267,afw.com,2,47639
268,templeandwebster.com.au,1,47843
269,reputon.com,3,47892
270,appland.se,4,47946
271,collectorsweekly.com,9,48007
272,ullapopken.de,3,48370
273,toloka.to,5,48489
274,therapistaid.com,7,48493
275,lionbrand.com,3,48894
276,oct8ne.com,8,48909
277,twopeasandtheirpod.com,5,49175
278,bitcomet.com,5,49249
279,uniza.sk,7,49588
280,getsentry.com,7,49665
281,zkb.ch,8,49731
282,exoticca.com,4,50079
283,kyero.com,4,50296
284,parcel2go.com,7,50646
285,daftporn.com,10,50699
286,elgaronline.com,5,50858
287,awm.gov.au,4,50913
288,ninewest.com,7,51070
289,youglish.com,5,51071
290,wook.pt,2,51184
291,spp.org,9,51229
292,thrivecausemetics.com,6,51265
293,scienceopen.com,6,51451
294,winporn.com,7,51959
295,musicca.com,3,51981
296,musicmagpie.co.uk,1,52295
297,karenmillen.com,7,52612
298,luvmehair.com,9,52834
299,slideteam.net,10,52982
300,databazeknih.cz,9,53021
301,pornrabbit.com,5,53358
302,univpm.it,5,53384
303,babelcube.com,7,53464
304,grin.com,3,53562
305,vipergirls.to,3,53565
306,visorando.com,6,53632
307,exoticindiaart.com,9,53821
308,frick.org,4,53949
309,municipalonlinepayments.com,0,54064
310,standard.com,4,54144
311,pdfescape.com,4,54291
312,picturepush.com,6,54410
313,dayforce.com,7,54605
314,freeimage.host,6,54939
315,easyspirit.com,5,55097
316,42.fr,4,55270
317,prostovpn.org,5,55429
318,clickastro.com,6,56194
319,forksoverknives.com,7,56460
320,honestjohn.co.uk,5,56652
321,adoptmetradingvalues.com,7,57006
322,quipper.com,2,57232
323,brava.com,4,57336
324,ottawa.ca,2,57376
325,xyzscripts.com,10,57524
326,flixpatrol.com,6,57885
327,mosautoshina.ru,4,58005
328,gameguardian.net,4,58064
329,123stitch.com,9,58213
330,mytimestation.com,8,58385
331,anycubic.com,5,58593
332,omaze.co.uk,9,58635
333,yeptube.com,4,58818
334,signingorder.com,11,58954
335,hybrid-analysis.com,7,59205
336,papier.com,9,59223
337,mommypoppins.com,9,59373
338,nukadeti.ru,7,59767
339,nodeping.com,3,60134
340,bitbin.it,6,60459
341,iium.edu.my,4,60477
342,childrensalon.com,4,60616
343,pixnio.com,10,60642
344,ichkoche.at,7,60827
345,iabilet.ro,6,61017
346,grazia.it,8,61097
347,youngla.com,2,61189
348,brillonline.com,8,61390
349,snipboard.io,3,61399
350,vividracing.com,5,61464
351,gaiam.com,9,61504
352,devdojo.com,7,61590
353,emuparadise.me,8,62465
354,landerlab.io,4,62753
355,istore.co.za,6,62984
356,humanbenchmark.com,5,63029
357,4mark.net,8,63143
358,rrr.lt,1,63308
359,readcomicsonline.ru,6,63488
360,inmarsat.com,5,63493
361,docuware.cloud,10,63684
362,titleist.com,10,63789
363,uniwa.gr,5,63893
364,mirraw.com,12,64161
365,bearcreekarsenal.com,6,64229
366,codata.pb.gov.br,4,64381
367,elementvape.com,4,64393
368,softschools.com,9,64601
369,insidermedia.com,2,64752
370,sportdepot.bg,4,65119
371,firewalla.com,5,65231
372,targus.com,7,65377
373,expireddomains.net,2,65423
374,tenantturner.com,3,65517
375,elkhabar.com,10,65598
376,statuspal.io,2,66378
377,sensiseeds.com,1,66413
378,myjobmag.com,6,66513
379,charlierose.com,4,66597
380,okazii.ro,7,66867
381,cubeupload.com,7,66882
382,uoozee.com,1,67050
383,kindpng.com,6,67138
384,doorkeeper.jp,9,67142
385,projecteuler.net,7,67176
386,dixxon.com,7,67512
387,profitmetrics.io,2,67586
388,fleaflicker.com,8,67650
389,kaina24.lt,1,67744
390,sonhos.com.br,6,67751
391,beaconcha.in,5,67904
392,gamedesire.com,5,68006
393,mydrive.ch,2,68248
394,fast-growing-trees.com,4,68461
395,limitedrungames.com,7,68638
396,deadfrontier.com,8,68758
397,tribalpages.com,5,68882
398,askart.com,3,68979
399,fencingtimelive.com,5,69043
400,gehalt.de,5,69446
401,lidl-kochen.de,6,69652
402,vtt.fi,9,69774
403,im.ge,4,69784
404,stampworld.com,8,69802
405,keh.com,7,69825
406,rockbot.com,6,69881
407,maphub.net,1,69916
408,ecosense.io,6,69936
409,aqarmap.com.eg,3,70684
410,larapush.com,4,70707
411,sport-shop.pl,7,70735
412,agroserver.ru,7,71145
413,ipmeta.io,2,71169
414,hotnigerianjobs.com,6,71324
415,xpluswear.com,1,71614
416,globalhealing.com,4,71658
417,vackertvader.se,8,71722
418,biblprog.org.ua,7,72424
419,upce.cz,6,73175
420,biointeractive.org,5,73419
421,40billion.com,6,74131
422,warnerbros.co.uk,5,74202
423,teachervision.com,9,74413
424,internet-radio.com,7,74472
425,vidyalakshmi.co.in,11,74600
426,amarstock.com,7,75223
427,swipepages.com,7,75277
428,collectingcars.com,1,75549
429,ufret.jp,7,75744
430,snb.ch,2,75804
431,prebidmanager.com,5,75836
432,groovelife.com,4,76051
433,daniweb.com,4,76359
434,cesim.com,5,76457
435,holotaco.com,6,76563
436,401games.ca,10,77068
437,iphub.info,4,77092
438,koskii.com,6,77321
439,tpu.ro,6,77446
440,freegeoip.app,3,77589
441,pepup.life,6,77841
442,mycbseguide.com,6,77862
443,raise3d.com,9,77965
444,thehouseofrare.com,7,78028
445,officialusa.com,5,78298
446,maldita.es,7,78596
447,poprtb.com,9,79150
448,hogwartsishere.com,2,79175
449,baccabucci.com,8,79201
450,porn87.com,10,79213
451,mamasandpapas.com,7,79431
452,beminimalist.co,4,79464
453,itokri.com,7,79553
454,cioxhealth.com,3,79772
455,unique-vintage.com,6,79996
456,autouncle.de,4,79999
457,koraplus.com,10,80065
458,online-translator.com,9,80167
459,papvacances.fr,1,80428
460,alamodelabel.in,9,80792
461,elec.ru,1,80849
462,skijumping.pl,4,80957
463,openexchangerates.org,8,80973
464,musopen.org,5,81159
465,bynogame.com,2,81360
466,myclimate.org,7,81606
467,americanliterature.com,4,81634
468,grubbrr.com,7,81745
469,bothelp.io,7,81772
470,teamsystem.com,9,82244
471,lsn.com,6,82580
472,lesacoutlet.it,9,82590
473,gnome-look.org,10,82617
474,theurbanlist.com,10,82959
475,mininterno.net,10,83098
476,kite.trade,4,83357
477,atp-autoteile.de,4,83377
478,otter.ro,5,83475
479,startus.cc,3,83694
480,carfind.co.za,7,83725
481,lidraughts.org,2,83948
482,prashantisarees.com,6,83992
483,tardigrade.in,3,84209
484,fireprobe.net,4,84405
485,caster.fm,7,84459
486,xwiki.org,3,84600
487,scientific.net,6,84622
488,frenchconnection.com,7,84690
489,petlibro.com,6,84774
490,toddsnyder.com,9,84945
491,mahnem.ru,8,84947
492,toodledo.com,6,85091
493,columbiasouthern.edu,5,85099
494,berrys-cafe.jp,5,85111
495,randomactsofkindness.org,4,85545
496,designfiles.co,3,85978
497,shopecs.com,12,86451
498,valuedvoice.com,5,86839
499,loandisk.com,6,87312
500,shalom.pe,4,87776
501,syse.no,4,88318
502,sachmem.vn,8,88554
503,bidzaar.com,5,88574
504,bearblog.dev,1,88740
505,myfahlo.com,3,89044
506,coreldrawdesign.com,7,90289
507,raywenderlich.com,7,90676
508,g-wonlinetextbooks.com,5,90962
509,openscad.org,7,91074
510,breakout.com.pk,6,91129
511,webeden.co.uk,7,91171
512,auctionexport.com,11,91665
513,schuhcenter.de,7,92188
514,petiteknit.com,14,92383
515,woxikon.de,4,92952
516,killstar.com,5,92974
517,nassaucountyny.gov,3,93089
518,hermanodeleche.com,2,93109
519,leafstudios.in,3,93169
520,current-rms.com,4,93418
521,wpenjoy.com,5,93457
522,vdoc.pub,6,93644
523,patpat.lk,8,93670
524,crowdfundhq.com,7,94014
525,dugout-online.com,6,94022
526,demosphere.com,8,94663
527,stakecommunity.com,1,96154
528,pimoroni.com,7,96175
529,fetish.com,10,96181
530,shenyun.com,8,96489
531,picktime.com,7,97427
532,toa.st,6,97518
533,domainepublic.net,3,98083
534,cadenlane.com,8,98108
535,jobhop.co.uk,8,98389
536,somfy.com,5,98461
537,expo.io,6,98608
538,nibud.nl,4,98689
539,omnilert.net,1,98778
540,ascensionpress.com,5,98925
541,akpress.org,7,99498
542,humanitarianresponse.info,1,99686
543,rarebeauty.com,7,99813
544,aus.social,5,99831
545,adoption.com,5,99891
546,appcreator24.com,7,100662
547,opencagedata.com,2,100779
548,yellowbot.com,1,100923
549,veronicabeard.com,7,101041
550,femina.in,4,101051
551,soorban.com,2,101062
552,rankia.com,2,101267
553,alessi.com,7,101621
554,domain.io,1,102044
555,fullcompass.com,4,102344
556,mathpapa.com,7,102358
557,balluff.com,5,102465
558,ag.ch,5,102603
559,ajtmh.org,4,103163
560,despair.com,6,103356
561,pinkblushmaternity.com,11,103469
562,expreso.ec,7,103611
563,lutris.net,4,103798
564,oddsdigger.com,5,104276
565,printerpoint.com,6,104376
566,scaledrone.com,3,104435
567,cloudberrylab.com,4,104794
568,karpaten.ro,6,104867
569,ketto.org,6,104895
570,best-minecraft-servers.co,5,104950
571,bergfreunde.eu,5,105402
572,taylorguitars.com,2,105431
573,ilsmart.com,7,105793
574,vitalproteins.com,5,105824
575,trhknih.cz,5,106034
576,swipepages.net,7,106510
577,publica.la,7,106535
578,nutrien.com,6,106618
579,ima-usa.com,9,106858
580,goodamerican.com,7,107014
581,pdpaola.com,8,107083
582,stufferdb.com,1,107114
583,birdygrey.com,11,107184
584,ulm.de,4,107208
585,akjournals.com,7,107483
586,tourdom.ru,8,107663
587,ugreen.com,6,107825
588,vbforums.com,10,108009
589,mpm.edu,6,108155
590,fedibird.com,6,108587
591,511on.ca,4,108664
592,1stphorm.com,4,108916
593,beck-shop.de,4,108947
594,studylink.com,7,109051
595,staysure.co.uk,6,109230
596,agenceecofin.com,4,109559
597,kidshelpline.com.au,9,109673
598,adanola.com,9,109704
599,printwhatyoulike.com,7,109769
600,speakpipe.com,7,110692
601,wpdownloadmanager.com,7,111994
