Violation ID,Count,Severity
frame-title,256,serious
html-has-lang,1577,serious
color-contrast,7636,serious
link-name,4342,serious
aria-valid-attr,107,critical
duplicate-id-aria,1770,critical
duplicate-id,3377,minor
nested-interactive,380,serious
button-name,1212,critical
image-alt,2243,critical
label,1757,critical
listitem,827,serious
list,602,serious
select-name,865,critical
aria-input-field-name,121,serious
duplicate-id-active,1237,serious
aria-roles,81,critical
svg-img-alt,302,serious
aria-hidden-focus,317,serious
aria-valid-attr-value,191,critical
aria-required-children,193,critical
aria-command-name,83,serious
aria-allowed-attr,448,critical
document-title,211,serious
aria-required-parent,109,critical
scrollable-region-focusable,145,moderate
input-button-name,67,critical
aria-required-attr,54,critical
meta-refresh,153,critical
html-lang-valid,65,serious
aria-tooltip-name,4,serious
aria-progressbar-name,39,serious
input-image-alt,34,critical
area-alt,3,critical
definition-list,13,serious
aria-toggle-field-name,7,serious
aria-roledescription,22,serious
object-alt,14,serious
role-img-alt,23,serious
marquee,13,serious
valid-lang,3,serious
dlitem,3,serious
