,tranco_rank,website,violations
214,35870.0,castos.com,1
534,300268.0,hiboy.com,3
908,372534.0,patagoniaprovisions.com,3
1248,851594.0,thmarinesupplies.com,4
1666,74548.0,adlice.com,5
2302,2575647.0,ashleylongshore.com,6
2392,16159.0,aufeminin.com,6
2479,984941.0,aylien.com,2
2741,2385365.0,bellahousewares.com,7
3119,572822.0,bondiboost.com.au,7
3260,148944.0,brumate.com,6
3317,197136.0,bunaai.com,8
3568,571879.0,cashgenerator.co.uk,6
3640,1284766.0,centrosdeadicciones.com,6
4017,763851.0,collect-world.com,5
4073,2087965.0,compubench.com,4
4183,491373.0,cosbar.com,2
4413,3640561.0,cuteprofit.com,6
4494,504392.0,danskin.com,7
4615,2873165.0,dellamoda.com,9
5039,257760.0,dunhilltraveldeals.com,5
5390,2451308.0,englewoodgov.org,5
5501,2465200.0,ethicalbean.com,8
6071,2390430.0,foxbackdrop.com,5
6554,379298.0,gogift.com,7
6587,595840.0,gonzalezgimenez.com.py,7
6659,1894391.0,gowiseproducts.com,3
7198,608271.0,horydoly.cz,8
7608,711497.0,internetstart.se,3
7874,402999.0,jmgworld.com,8
8025,928692.0,kakimori.com,11
8156,98459.0,kidshelpline.com.au,9
8701,175222.0,lingopie.com,5
9665,1592061.0,molodesign.com,3
9668,1730631.0,momie.fr,7
9826,2941787.0,muhadharaty.com,10
9963,736813.0,mypoojabox.in,7
10117,348697.0,netfarm.it,6
11295,1107922.0,popvox.com,5
11419,4193373.0,printerinkcartridges.ie,9
11456,2039255.0,profotos.com,11
11536,1280808.0,puffingbird.com,7
11696,597472.0,ram-e-shop.com,5
11927,2473567.0,rfpa.org,7
12188,3957197.0,saferingz.com,4
12481,698341.0,servebolt.com,3
12728,654129.0,shopnewage.com,12
12979,1180285.0,snapwireless.com.au,6
13331,75537.0,sten.to,1
13596,731585.0,swapacd.com,10
13613,36389.0,swimoutlet.com,4
13700,692144.0,tantannews.com,4
13716,1066211.0,tastersclub.com,7
14076,361672.0,theparentcue.org,7
14516,2036672.0,truelds.com,5
14542,1775737.0,tufanomoda.com,6
15523,1139079.0,wpfrank.com,4
15908,992511.0,appalshop.org,4
16836,2037898.0,openpraxis.org,2
17023,1104886.0,saranoni.com,1
